raw_material_id,raw_material_sku,suppliers
150,RM-C1-calcium-citrate-05c28cc3,"Jost Chemical,PureBulk"
151,RM-C1-cellulose-594d4ce6,"Ashland,Colorcon"
152,RM-C1-croscarmellose-sodium-ba050b0c,"Ashland,Colorcon"
153,RM-C1-magnesium-silicate-6045d1ce,"Ashland,Colorcon"
154,RM-C1-magnesium-stearate-fdedf242,"Ashland,Colorcon"
155,RM-C1-polyethylene-glycol-53cc28ba,"Spectrum Chemical,Univar Solutions"
156,RM-C1-polyvinyl-alcohol-ebfeea56,"Ashland,Colorcon"
157,RM-C1-stearic-acid-9a014700,"Ashland,Colorcon"
158,RM-C1-titanium-dioxide-e460a12c,"Ashland,Colorcon"
159,RM-C1-vitamin-d3-cholecalciferol-67efce0f,"Prinova USA,PureBulk"
160,RM-C2-ascorbic-acid-4823fabf,"Prinova USA,PureBulk"
161,RM-C2-beta-carotene-bb90cd60,"AIDP,Nutri Avenue"
164,RM-C2-choline-bitartrate-296d4da4,"Balchem,Prinova USA"
165,RM-C2-cyanocobalamin-c2d9669b,"Prinova USA,PureBulk"
166,RM-C2-d-alpha-tocopheryl-succinate-532e67fd,"Prinova USA,PureBulk"
167,RM-C2-d-calcium-pantothenate-bc49e976,"Prinova USA,PureBulk"
168,RM-C2-hesperidin-complex-a26e0bcd,"AIDP,Nutri Avenue"
169,RM-C2-inositol-a10dfe66,"Nutri Avenue,PureBulk"
170,RM-C2-lemon-bioflavonoid-complex-0eeb9802,"American Botanicals,Mueggenburg USA"
172,RM-C2-manganese-2947a710,"Jost Chemical,Prinova USA"
173,RM-C2-niacinamide-c27eb0fe,"Prinova USA,PureBulk"
174,RM-C2-para-amino-benzoic-acid-b19c9ed7,"Cambrex,Spectrum Chemical"
175,RM-C2-potassium-alginate-ab91bdcc,"Ashland,Colorcon"
177,RM-C2-pyridoxine-hcl-0a843bcb,"Prinova USA,PureBulk"
178,RM-C2-riboflavin-a3d02436,"Prinova USA,PureBulk"
179,RM-C2-rice-bran-1f905661,Ingredion
180,RM-C2-rice-protein-c17ff51d,"AIDP,Ingredion"
181,RM-C2-rutin-e29ccf19,"American Botanicals,Mueggenburg USA"
182,RM-C2-soy-lecithin-cc38c49d,"ADM,Cargill"
183,RM-C2-thiamine-hcl-a714a4bf,"Prinova USA,PureBulk"
184,RM-C2-vitamin-a-palmitate-58b26912,"Prinova USA,PureBulk"
186,RM-C3-citric-acid-6f4f6850,"Prinova USA,Univar Solutions"
187,RM-C3-maltodextrin-9e221e16,Ingredion
188,RM-C3-orange-flavor-10a9b501,"Gold Coast Ingredients"
189,RM-C3-potassium-a7e6389c,"Jost Chemical,Prinova USA"
190,RM-C3-sodium-bd233043,"Jost Chemical,Prinova USA"
